application_id,credit_score,num_credit_lines,credit_utilization,num_delinquencies,months_since_last_delinq,annual_income,employment_length_years,debt_to_income,loan_amount,loan_term_months,interest_rate,num_inquiries_6m,revolving_balance,has_mortgage,has_car_loan,default,application_date
APP00000001,652.6281079098209,5,0.18310892903116682,0,-1.0,17635.33003276764,1.619865900625789,0.6995869811012374,39722.381278682755,24,13.96708718692356,1,3624.7784816925614,1,1,0,2023-01-01 01:00:00
APP00000002,611.8768016176545,11,0.08585621137798927,0,-1.0,17199.95031978523,2.736491624112538,0.42870301163759744,9037.071483540338,24,11.670127938070237,2,2994.834435248967,1,1,0,2023-01-01 01:00:00
APP00000003,652.533185931804,6,0.08931013150717629,0,-1.0,96787.96303292585,1.5103620093661698,0.5271660801772207,14022.081062893818,12,9.756373368245232,1,12295.03143057418,0,0,0,2023-01-01 01:00:00
APP00000004,681.8483476800585,3,0.1453046269702933,0,-1.0,101461.18352463697,4.970004599162682,0.3722865485580424,17055.70738430575,48,9.429150434303578,3,8579.490382549155,1,0,0,2023-01-01 01:00:00
APP00000005,715.5410649188832,7,0.23669241928032672,1,41.0658455123708,74748.71664428202,2.66819373453576,0.5138874175870758,11585.639832550223,60,11.45228213571389,1,6372.17278592248,0,1,0,2023-01-01 02:00:00
APP00000006,712.0135684160398,4,0.5115340623304203,0,-1.0,98540.07894966545,1.8586251657852106,0.7080650331853146,24030.77473514341,24,15.040814964376516,1,3982.0668344954993,0,0,0,2023-01-01 02:00:00
APP00000007,675.4729208880084,3,0.12309226387424972,0,-1.0,35266.62565416492,4.298821181350006,0.2354503457504044,35737.63699874462,12,15.090855884010683,1,5396.806961775625,0,0,0,2023-01-01 02:00:00
APP00000008,658.0158156197849,3,0.46067733648622416,0,-1.0,55024.15005381992,6.708149512412348,0.570106831411915,13984.806583938907,12,9.017205082274705,0,5986.850882418829,1,0,0,2023-01-01 03:00:00
APP00000009,654.4756851466706,2,0.17953745213948494,2,48.621037446051915,28751.343697291297,12.672534325678853,0.7122609880554852,5518.531624633663,60,13.764079708503655,0,4277.879401809588,0,0,0,2023-01-01 03:00:00
APP00000010,751.3042949495805,8,0.4455609387544067,0,-1.0,27253.73151963651,1.7977816219562595,0.240156695354565,26492.036407778487,12,17.417891837740928,0,1441.1812795400792,0,0,0,2023-01-01 04:00:00
APP00000011,718.8287926042552,5,0.2758182515582521,2,60.775216792465194,39061.31516395922,11.914431448159583,0.13681170974383652,48612.44499002494,48,15.624085949610075,1,2724.707771305592,1,0,0,2023-01-01 07:00:00
